,CODIGO_UNICO,CODIGO_SNIP,NOMBRE_INVERSION,ESTADO,SITUACION,MONTO_VIABLE,COSTO_ACTUALIZADO,CTRL_CONCURR,MONTO_LAUDO,MONTO_FIANZA,FECHA_VIABILIDAD,MARCO,TIPO_INVERSION,DEVEN_ACUMUL_ANIO_ANT,DEV_ANIO_ACTUAL
2064,2705436,2705436,"ADQUISICION DE EQUIPO DE CIRUGIA LAPAROSCOPICA, ANALIZADOR BIOQUIMICO, ANALIZADOR HEMATOLOGICO Y ELECTROCARDIOGRAFO (TELEMEDICINA) ADEMÁS DE OTROS ACTIVOS EN EL(LA) HOSPITAL  JESUS NAZARENO  DISTRITO DE JESUS NAZARENO, PROVINCIA HUAMANGA, DEPARTAMENTO AYACUCHO",ACTIVO,APROBADO,1397894.0,2592830.0,0,0.0,0.0,2/10/2025 00:00,INVIERTE,INVERSIONES IOARR,0.0,0.0
1896,2660498,2660498,CREACION DEL SERVICIO DE ALCANTARILLADO U OTRAS FORMAS DE DISPOSICIÓN SANITARIA DE EXCRETAS EN UNIDADES BASICAS DE SANEAMIENTO  DE CENTRO POBLADO HUAYLLANI (TURUNTURO) DISTRITO DE CAIRANI DE LA PROVINCIA DE CANDARAVE DEL DEPARTAMENTO DE TACNA,ACTIVO,VIABLE,212325.82,440211.31,0,0.0,0.0,5/09/2024 00:00,INVIERTE,PROYECTO DE INVERSION,430603.3,0.0
2686,2598508,2598508,MEJORAMIENTO DEL SERVICIO DE PROVISIÓN DE AGUA PARA RIEGO EN EL SISTEMA DE RIEGO TECNIFICADO DE LA LOCALIDAD DE ANCHONGA DEL   DISTRITO DE ANCHONGA DE LA PROVINCIA DE ANGARAES DEL DEPARTAMENTO DE HUANCAVELICA,ACTIVO,VIABLE,5514838.05,6039100.54,0,0.0,0.0,19/06/2023 00:00,INVIERTE,PROYECTO DE INVERSION,5957779.87,0.0
1588,2194661,285063,"MEJORAMIENTO DE LA CALLE 4 DE SETIEMBRE, CALLE URARINAS, PASAJE SECOYA Y PASAJES ADYACENTES AL ÁMBITO DE SU INFLUENCIA - DISTRITO DE IQUITOS, PROVINCIA DE MAYNAS - LORETO",ACTIVO,VIABLE,4474430.0,12264393.26,0,0.0,0.0,19/10/2017 00:00,SNIP,PIP MAYOR (SNIP),11359464.25,0.0
4417,2499210,2499210,"CONSTRUCCION DE RESERVORIO EN EL(LA) PLANTA DE AGUA POTABLE,  DISTRITO DE SANTA RITA DE SIGUAS, PROVINCIA AREQUIPA, DEPARTAMENTO AREQUIPA",ACTIVO,APROBADO,443900.08,750948.22,0,0.0,0.0,12/10/2020 00:00,INVIERTE,INVERSIONES IOARR,702724.42,0.0
324,2628986,2628986,"CREACION DE LOS SERVICIOS DE PROTECCIÓN EN LA RIBERA DE LAS QUEBRADAS VULNERABLES ANTE EL PELIGRO EN DESLIZAMIENTOS EN EL ESTADIO MUNICIPAL,   DISTRITO DE SAN PEDRO DE HUANCAYRE DE LA PROVINCIA DE HUAROCHIRI DEL DEPARTAMENTO DE LIMA",ACTIVO,VIABLE,583250.23,403396.12,0,0.0,0.0,5/01/2024 00:00,INVIERTE,PROYECTO DE INVERSION,0.0,0.0
2895,2500995,2500995,MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS OPERATIVOS O MISIONALES INSTITUCIONALES EN LA UNIDAD ZONAL LAMPA DE ELECTRO PUNO S.A.A.   DISTRITO DE LAMPA DE LA PROVINCIA DE LAMPA DEL DEPARTAMENTO DE PUNO,ACTIVO,VIABLE,2746309.79,2746309.79,0,0.0,0.0,22/04/2024 00:00,INVIERTE,PROYECTO DE INVERSION,0.0,0.0
3967,2152952,204566,"MEJORAMIENTO DEL PARQUE JUNTA VECINAL NUEVO AGUAYTIA, PROVINCIA DE PADRE ABAD - UCAYALI",ACTIVO,VIABLE,119038.79,253573.91,0,0.0,0.0,8/03/2012 00:00,SNIP,PIP MENOR (SNIP),253573.91,0.0
4933,2088996,109554,"DESCOLMATACION DEL CAUSE Y REFORZAR LAS RIBERAS DEL RIO LACRAMARCA, SECTOR VILLA MARIA Y 27 DE OCTUBRE - DISTRITO DE CHIMBOTE - PROVINCIA SANTA - REGION ANCASH",ACTIVO,VIABLE,299674.0,1.0,0,0.0,0.0,22/01/2009 00:00,SNIP,PIP MAYOR (SNIP),299674.3,0.0
4766,2687722,2687722,CREACION DEL SERVICIO DE PROVISIÓN DE AGUA PARA RIEGO EN EL SISTEMA DE RIEGO TECNIFICADO EN EL SECTOR PIEDRA GENTIL DEL   DISTRITO DE SANTIAGO DE TUNA DE LA PROVINCIA DE HUAROCHIRI DEL DEPARTAMENTO DE LIMA,ACTIVO,VIABLE,641160.2,179516.08,0,0.0,0.0,8/05/2025 00:00,INVIERTE,PROYECTO DE INVERSION,170476.13,0.0
356,2199701,298446,"CREACION DE LA LOSA DEPORTIVA EN EL CENTRO POBLADO CHINAO, DISTRITO DE TABALOSOS - LAMAS - SAN MARTIN",ACTIVO,VIABLE,70023.89,70023.89,0,0.0,0.0,26/08/2014 00:00,SNIP,PIP MENOR (SNIP),67540.8,0.0
948,2352536,384020,"MEJORAMIENTO DEL PARQUE PRINCIPAL DEL CPM LA RAMADA ., DISTRITO DE SALAS - LAMBAYEQUE - LAMBAYEQUE",ACTIVO,VIABLE,231268.56,395278.93,0,0.0,0.0,30/05/2017 00:00,SNIP,PIP MENOR (SNIP),362076.43,0.0
