investment_code,COD_UNICO,VAL_CIERRE_BRECHA_F9,FEC_CREA,IND_CIE_BRE,DES_BRECHA,DES_UM,ID_UM,EST_CIE_BRE,NUM_DIAS_REST,DES_GLOSA_REST
2705436,2705436,0.0,,En Programación,PORCENTAJE DE HOSPITALES CON CAPACIDAD INSTALADA INADECUADA,ESTABLECIMIENTO DE SALUD,174,,0,
2660498,2660498,50.0,,En Programación,PORCENTAJE DE LA POBLACIÓN RURAL SIN ACCESO AL SERVICIO DE ALCANTARILLADO U OTRAS FORMAS DE DISPOSICIÓN SANITARIA DE EXCRETAS,PERSONAS,100,,0,
2598508,2598508,20.0,,En Programación,PORCENTAJE DE SUPERFICIE AGRÍCOLA SIN RIEGO TECNIFICADO,HA,17,,0,
2194661,2194661,2487.0,,En Cierre,PORCENTAJE DE LA POBLACIÓN URBANA SIN ACCESO A LOS SERVICIOS DE MOVILIDAD URBANA A TRAVÉS DE VÍAS URBANAS,PERSONAS,100,,-1242,
2499210,2499210,24.0,,En Programación,PORCENTAJE DE POBLACIÓN URBANA QUE NO TIENE CONTINUIDAD DEL SERVICIO DE AGUA POTABLE,HORAS,76,,0,
2628986,2628986,1.0,,En Programación,PORCENTAJE DE PUNTOS CRÍTICOS EN LAS QUEBRADAS NO PROTEGIDAS ANTE PELIGROS,PUNTOS CRÍTICOS EN QUEBRADA,248,,0,
2500995,2500995,1.0,,En Programación,PORCENTAJE DE UNIDADES ORGÁNICAS DE LA ENTIDAD CON INADECUADO ÍNDICE DE OCUPACIÓN,UNIDADES ORGÁNICAS,303,,0,
2152952,2152952,0.0,,En Cierre,,,0,,0,
2687722,2687722,18.8,,En Programación,PORCENTAJE DE SUPERFICIE AGRÍCOLA SIN RIEGO TECNIFICADO,HA,17,,0,
2352536,2352536,5.0,,En Programación,PORCENTAJE DE M2 DE ESPACIOS PÚBLICOS PARA EL ESPARCIMIENTO Y RECREACIÓN EN ZONAS URBANAS POR IMPLEMENTAR,M2,15,,0,
2705952,2705952,1273.0,,En Programación,PORCENTAJE DE LA POBLACIÓN URBANA SIN ACCESO A LOS SERVICIOS DE MOVILIDAD URBANA A TRAVÉS DE VÍAS URBANAS,PERSONAS,100,,0,
2530397,2530397,1.0,,En Programación,PORCENTAJE DE SISTEMAS DE RIEGO QUE OPERAN EN CONDICIONES INADECUADAS,SISTEMA DE RIEGO,281,,0,
2380177,2380177,0.5,,En Cierre,PORCENTAJE DE M2 DE ESPACIOS PÚBLICOS VERDES EN ZONAS URBANAS POR IMPLEMENTAR,M2,15,,-994,
2478143,2478143,1.0,,En Programación,PORCENTAJE DE INSTALACIONES DEPORTIVAS Y /O RECREATIVAS EN CONDICIONES INADECUADAS,INSTALACIONES DEPORTIVAS Y/O RECREATIVAS,269,,0,
2575737,2575737,30.0,,En Programación,PORCENTAJE DE SERVICIOS OPERATIVOS O MISIONALES INSTITUCIONALES CON CAPACIDAD OPERATIVA INADECUADA,SERVICIOS OPERATIVOS O MISIONALES INSTITUCIONALES,181,,0,
2715592,2715592,52.0,,En Programación,PORCENTAJE DE LA POBLACIÓN RURAL SIN ACCESO AL SERVICIO DE AGUA POTABLE MEDIANTE RED PÚBLICA O PILETA PÚBLICA,PERSONAS,100,,0,
2510026,2510026,1.0,,En Programación,PORCENTAJE DE SISTEMAS DE RIEGO QUE OPERAN EN CONDICIONES INADECUADAS,SISTEMA DE RIEGO,281,,0,
2405435,2405435,1.0,,En Cierre,PORCENTAJE DE MERCADOS DE ABASTOS QUE OPERAN EN CONDICIONES INADECUADAS,MERCADO,280,,-1365,
2671103,2671103,250.0,,En Programación,PORCENTAJE DE LA POBLACIÓN URBANA SIN ACCESO A LOS SERVICIOS DE MOVILIDAD URBANA A TRAVÉS DE VÍAS URBANAS,PERSONAS,100,,0,
2084942,2084942,100.0,,En Programación,PORCENTAJE DE LA POBLACIÓN RURAL SIN ACCESO AL SERVICIO DE AGUA POTABLE MEDIANTE RED PÚBLICA O PILETA PÚBLICA,PERSONAS,100,,0,
2632443,2632443,63.0,,En Programación,PORCENTAJE DE INSTALACIONES EDUCATIVAS QUE BRINDAN EL SERVICIO DE EDUCACIÓN SECUNDARIA EN CONDICIONES INADECUADAS,INSTALACIÓN EDUCATIVA,327,,0,
2503709,2503709,54047.0,,En Programación,PORCENTAJE DE LA POBLACIÓN URBANA SIN ACCESO A LOS SERVICIOS DE MOVILIDAD URBANA A TRAVÉS DE VÍAS URBANAS,PERSONAS,100,,0,
2647353,2647353,40.0,,En Programación,PORCENTAJE DE PUNTOS CRÍTICOS EN LAS QUEBRADAS NO PROTEGIDAS ANTE PELIGROS,PUNTOS CRÍTICOS EN QUEBRADA,248,,0,
2610389,2610389,1.0,,En Programación,PORCENTAJE DE INSTALACIONES EDUCATIVAS QUE BRINDAN EL SERVICIO DE EDUCACIÓN INICIAL EN CONDICIONES INADECUADAS,INSTALACIÓN EDUCATIVA,327,,0,
2673405,2673405,1291.61,,En Programación,PORCENTAJE DE SUPERFICIE DE ECOSISTEMAS DEGRADADOS QUE BRINDAN SERVICIOS ECOSISTÉMICOS QUE REQUIEREN DE RECUPERACIÓN,HA,17,,0,
2393130,2393130,1.0,,En Programación,PORCENTAJE DE INSTALACIONES DEPORTIVAS QUE BRINDAN EL SERVICIO DEPORTIVO DE COMPETENCIA EN CONDICIONES INADECUADAS,INSTALACIÓN DEPORTIVA,156,,0,
2626838,2626838,1.0,,En Programación,PORCENTAJE DE PERSONAS NO MATRICULADAS EN EL NIVEL SECUNDARIA RESPECTO A LA DEMANDA POTENCIAL,PERSONA/AÑO,24,,0,
2710911,2710911,80.0,,En Programación,PORCENTAJE DE INSTALACIONES EDUCATIVAS QUE BRINDAN EL SERVICIO DE EDUCACIÓN PRIMARIA EN CONDICIONES INADECUADAS,INSTALACIÓN EDUCATIVA,327,,0,
2332327,2332327,133.0,,En Programación,PORCENTAJE DE VIVIENDAS EN EL ÁMBITO RURAL QUE NO CUENTAN CON SERVICIO ELÉCTRICO,VIVIENDAS ATENDIDAS/AÑO,242,,0,
2656746,2656746,0.0,,En Programación,PORCENTAJE DE HOSPITALES CON CAPACIDAD INSTALADA INADECUADA,ESTABLECIMIENTO DE SALUD,174,,0,
2452682,2452682,1.0,,En Programación,PORCENTAJE DE INSTALACIONES EDUCATIVAS QUE BRINDAN EL SERVICIO DE EDUCACIÓN INICIAL EN CONDICIONES INADECUADAS,LOCAL EDUCATIVO,188,,0,
2588741,2588741,1.0,,En Programación,PORCENTAJE DE INSTALACIONES DEPORTIVAS Y /O RECREATIVAS EN CONDICIONES INADECUADAS,INSTALACIONES DEPORTIVAS Y/O RECREATIVAS,269,,0,
2627291,2627291,264.0,,En Programación,PORCENTAJE DE LA POBLACIÓN URBANA SIN ACCESO A LOS SERVICIOS DE MOVILIDAD URBANA A TRAVÉS DE VÍAS URBANAS,PERSONAS,100,,0,
2520366,2520366,235.0,,En Programación,PORCENTAJE DE LA POBLACIÓN URBANA SIN ACCESO A LOS SERVICIOS DE MOVILIDAD URBANA A TRAVÉS DE VÍAS URBANAS,PERSONAS,100,,0,
2244494,2244494,5.6,,En Programación,PORCENTAJE DE LA RED VIAL VECINAL EN CONDICIONES INADECUADAS,KM,13,,0,
2466120,2466120,1.0,,En Programación,PORCENTAJE DE INSTALACIONES EDUCATIVAS QUE BRINDAN EL SERVICIO DE EDUCACIÓN PRIMARIA EN CONDICIONES INADECUADAS,LOCAL EDUCATIVO,188,,0,
2691162,2691162,121.0,,En Programación,PORCENTAJE DE LA POBLACIÓN URBANA SIN ACCESO A LOS SERVICIOS DE MOVILIDAD URBANA A TRAVÉS DE VÍAS URBANAS,PERSONAS,100,,0,
2324520,2324520,288.0,,En Cierre,PORCENTAJE DE LA POBLACIÓN RURAL SIN ACCESO AL SERVICIO DE AGUA POTABLE MEDIANTE RED PÚBLICA O PILETA PÚBLICA,PERSONAS,100,,-1648,
2596184,2596184,92.0,,En Programación,PORCENTAJE DE SUPERFICIE AGRÍCOLA SIN RIEGO TECNIFICADO,HA,17,,0,
2309952,2309952,150.0,,En Programación,PORCENTAJE DE LA POBLACIÓN RURAL SIN ACCESO AL SERVICIO DE AGUA POTABLE MEDIANTE RED PÚBLICA O PILETA PÚBLICA,PERSONAS,100,,0,
2338438,2338438,72.0,,En Programación,PORCENTAJE DE LA POBLACIÓN RURAL SIN ACCESO AL SERVICIO DE AGUA POTABLE MEDIANTE RED PÚBLICA O PILETA PÚBLICA,PERSONAS,100,,0,
2684431,2684431,1.0,,En Programación,PORCENTAJE DE SISTEMAS DE RIEGO QUE OPERAN EN CONDICIONES INADECUADAS,SISTEMA DE RIEGO,281,,0,
2395076,2395076,0.0,,En Programación,PORCENTAJE DE LA POBLACIÓN URBANA SIN ACCESO AL SERVICIO DE AGUA POTABLE MEDIANTE RED PÚBLICA O PILETA PÚBLICA,PERSONAS,100,,0,
2642432,2642432,1.0,,En Programación,PORCENTAJE DE INSTALACIONES EDUCATIVAS QUE BRINDAN EL SERVICIO DE EDUCACIÓN PRIMARIA EN CONDICIONES INADECUADAS,INSTALACIÓN EDUCATIVA,327,,0,
