investment_code,CODIGO_UNICO,NUM_ANIO,COD_MES,MTO_DEVEN,MTO_CERT,MTO_COMPROM
2705952,2705952,2026,3,319058.33,0.0,311285.33
2520366,2520366,2026,2,24313.21,125585.0,236585.0
2520366,2520366,2026,3,93481.83,11300.0,90300.0
2309952,2309952,2026,2,717138.29,3611203.0,2839584.91
2309952,2309952,2026,3,43796.0,0.0,123890.68
2309952,2309952,2026,4,43796.0,0.0,0.0
2642432,2642432,2026,1,10113.23,10113.23,10113.23
2131115,2131115,2026,3,3741.96,4828.91,4828.91
2715454,2715454,2026,2,42500.0,0.0,42500.0
2692290,2692290,2026,1,8551.66,28200.0,28200.0
2692290,2692290,2026,2,15135.59,14675.0,14675.0
2692290,2692290,2026,3,26508.87,3516677.0,32677.0
2463306,2463306,2026,1,1391.0,1391.0,1391.0
2463306,2463306,2026,2,5108.94,15561.08,11928.94
2463306,2463306,2026,3,167316.12,1067580.96,215842.8
2463306,2463306,2026,4,10824.57,16576.8,0.0
2645720,2645720,2026,1,18402.52,148831.13,49831.13
2645720,2645720,2026,2,124210.16,96690.2,191781.55
2645720,2645720,2026,3,126115.85,251367.75,224516.35
2703429,2703429,2026,1,43583.62,621713.62,43583.62
2703429,2703429,2026,2,12600.0,31100.0,31100.0
2703429,2703429,2026,3,15769.76,-5200.0,215400.0
2569808,2569808,2026,1,16479.26,16479.26,16479.26
2569808,2569808,2026,2,42834.12,97475.12,93475.12
2569808,2569808,2026,3,97221.03,48780.03,52780.03
2701241,2701241,2026,3,40000.0,17600.0,417600.0
2691575,2691575,2026,3,30000.0,0.0,30000.0
2250100,2250100,2026,2,20272.62,555445.0,555445.0
2250100,2250100,2026,3,32616.01,0.0,32616.01
2076673,2076673,2026,4,2500.0,0.0,0.0
2586825,2586825,2026,2,9300.0,0.0,34300.0
2586825,2586825,2026,3,50560.0,0.0,105020.0
2656973,2656973,2026,3,519969.02,42000.0,519969.02
2017492,2017492,2026,2,3568.89,500000.0,500000.0
2017492,2017492,2026,3,4688.19,8600.0,8600.0
2458244,2458244,2026,3,5540.0,23039.0,30971.7
2715358,2715358,2026,3,11000.0,245.0,11000.0
2620991,2620991,2026,1,9370.49,43026.99,41301.99
2620991,2620991,2026,2,225142.51,252097.61,253822.61
2620991,2620991,2026,3,89461.26,90411.94,72538.48
2620991,2620991,2026,4,16315.0,77226.48,0.0
2651324,2651324,2026,3,41000.0,410000.0,410000.0
2685336,2685336,2026,3,39417.4,51319.6,51319.6
2500094,2500094,2026,1,29058989.67,30031882.74,29303111.64
2500094,2500094,2026,2,1748091.54,1559883.64,1637857.19
2500094,2500094,2026,3,14286310.46,26426648.62,22919639.25
2630438,2630438,2026,1,3432.74,3432.74,3432.74
2630438,2630438,2026,2,9501.31,9501.31,9501.31
2248739,2248739,2026,1,11400.0,38000.0,38000.0
2574298,2574298,2026,1,434744.42,655929.6,434744.42
2574298,2574298,2026,2,759455.01,795910.29,783569.59
2574298,2574298,2026,3,49594.17,2233358.4,90853.33
2703092,2703092,2026,1,8740.0,8740.0,8740.0
2713215,2713215,2026,3,20000.0,20000.0,20000.0
2500085,2500085,2026,1,9365.44,27365.44,9365.44
2500085,2500085,2026,2,13965.44,16965.44,34965.44
2500085,2500085,2026,3,24258.27,1915721.82,15053.78
2257728,2257728,2026,1,32417.83,32417.83,32417.83
2304530,2304530,2026,3,12501.0,102000.0,102000.0
2304530,2304530,2026,4,6720.0,0.0,0.0
2482670,2482670,2026,3,246893.61,246893.61,487883.97
