investment_code,CODIGO_UNICO,MTO_DEVEN,MTO_PIM,MTO_PIA,MTO_GIRADO,DEV_ANIO1,PER_PRIM_DEVENG,PER_ULT_DEVENG
2660498,2660498,430603.3,0,0,430603.3,0.0,202412,202506
2598508,2598508,5957779.87,0,0,5957779.87,0.0,202312,202512
2194661,2194661,11359464.25,0,0,11359464.25,0.0,201502,202303
2499210,2499210,702724.42,0,0,702724.42,0.0,202012,202212
2152952,2152952,253573.91,0,0,253573.91,0.0,201303,201407
2088996,2088996,299674.3,0,0,299674.3,0.0,200908,200911
2687722,2687722,170476.13,0,0,170476.13,0.0,202506,202512
2199701,2199701,67540.8,0,0,67540.8,0.0,201409,201410
2352536,2352536,362076.43,0,0,362076.43,0.0,201910,202110
2705952,2705952,319058.33,410450,0,319058.33,319058.33,202603,202603
2129102,2129102,117089.94,0,0,116489.94,0.0,201110,201112
2530397,2530397,144835.41,46400,1000000,144835.41,0.0,202210,202409
2380177,2380177,3020324.75,0,0,3015661.43,0.0,201709,202107
2453855,2453855,2423321.02,0,0,2423321.02,0.0,202011,202212
2478143,2478143,375201.61,0,0,375201.61,0.0,202111,202212
2575737,2575737,889129.1,0,0,889129.1,0.0,202304,202412
2089085,2089085,181956.61,0,0,181956.61,0.0,200909,201012
2098259,2098259,319853.67,0,0,291968.97,0.0,201111,201209
2510026,2510026,686923.49,0,0,686923.49,0.0,202206,202310
2178042,2178042,227340.77,0,0,227340.77,0.0,201311,201408
2405435,2405435,633455.1,0,0,633455.1,0.0,201804,201904
2114198,2114198,126506.45,0,0,126506.45,0.0,201006,201012
2671103,2671103,0.0,0,0,0.0,0.0,,
2084942,2084942,784631.38,0,0,784631.38,0.0,201204,202009
2632443,2632443,15000.0,0,0,15000.0,0.0,202412,202412
2503709,2503709,33900.0,0,0,33900.0,0.0,202012,202012
2187659,2187659,1845336.0,0,0,1845336.0,0.0,201409,201509
2155238,2155238,689034.39,0,0,688477.54,0.0,201206,201808
2147383,2147383,8121572.14,0,0,8121572.14,0.0,201112,201211
2393130,2393130,17817226.87,0,0,17816026.13,0.0,201712,202110
2423812,2423812,171839.3,0,0,171839.3,0.0,201807,201812
2626838,2626838,0.0,0,0,0.0,0.0,,
2332327,2332327,31000.0,0,0,31000.0,0.0,201612,201612
2288190,2288190,378791.05,0,0,378791.05,0.0,201508,201511
2517100,2517100,10554.0,0,0,10554.0,0.0,202112,202112
2452682,2452682,76200.0,0,0,76200.0,0.0,202102,202312
2588741,2588741,871455.65,0,0,871455.65,0.0,202310,202510
2024482,2024482,92651.84,0,0,92651.84,0.0,200704,200704
2627291,2627291,0.0,0,0,0.0,0.0,,
2520366,2520366,8996512.03,368521,60408,8987046.44,117795.04,202110,202603
2292641,2292641,183054.6,0,0,183054.6,0.0,201712,201805
2468986,2468986,245847.3,0,0,245847.3,0.0,202212,202212
2421180,2421180,208600.0,0,0,208600.0,0.0,201805,201811
2244494,2244494,379912.17,0,0,379912.17,0.0,201505,201510
2466120,2466120,255127.22,0,0,255127.22,0.0,202002,202212
2099747,2099747,1022541.69,0,0,1022541.69,0.0,201006,201012
2324520,2324520,723320.95,0,0,723320.95,0.0,201808,202108
2596184,2596184,17640.0,88200,0,0.0,0.0,202512,202512
2154473,2154473,22879.75,0,0,22879.75,0.0,201209,201211
2037353,2037353,3500.0,0,0,3500.0,0.0,200703,200705
2338438,2338438,94922.4,2502000,2500000,94922.4,0.0,202312,202410
2309952,2309952,20581933.08,3611205,3611205,20532881.08,804730.29,201702,202604
2684431,2684431,6000.0,0,0,6000.0,0.0,202503,202503
2323343,2323343,31500.0,0,0,31500.0,0.0,201612,201612
2642432,2642432,855249.65,10121,0,855249.65,10113.23,202408,202601
2131115,2131115,18500630.56,854035,854035,18500630.56,3741.96,201101,202603
2165499,2165499,20000.0,0,0,20000.0,0.0,201312,201412
2048877,2048877,109877.05,0,0,109864.25,0.0,200712,201508
2617573,2617573,1134023.95,0,0,1134023.95,0.0,202505,202509
2270576,2270576,93604.09,0,0,93604.09,0.0,201510,201703
2320661,2320661,88000.0,0,0,88000.0,0.0,201807,201812
2091539,2091539,72820.5,0,0,72820.5,0.0,200912,201308
2177789,2177789,108403.23,0,0,108403.23,0.0,201306,201308
2284684,2284684,177098.58,0,0,177098.58,0.0,201609,201612
2480522,2480522,447956.22,0,0,447956.22,0.0,202011,202312
2321945,2321945,207523.1,0,0,207523.1,0.0,201610,201708
2616404,2616404,108558.32,0,0,108558.32,0.0,202312,202312
2647097,2647097,33000.0,0,0,33000.0,0.0,202410,202410
2530482,2530482,7903670.14,0,0,7903670.14,0.0,202412,202506
2165074,2165074,314829.41,0,0,314829.41,0.0,201212,201308
2527652,2527652,25000.0,0,0,25000.0,0.0,202111,202410
2715454,2715454,42500.0,42500,0,42500.0,42500.0,202602,202602
2541814,2541814,0.0,102355,0,0.0,0.0,,
2423388,2423388,42265.0,0,0,42265.0,0.0,201807,202309
2666634,2666634,0.0,0,0,0.0,0.0,,
2451776,2451776,239115.62,0,0,239115.62,0.0,201908,202108
2692290,2692290,104565.87,4468830,0,88190.56,50196.12,202508,202603
2432844,2432844,820016.64,0,0,820016.64,0.0,202109,202212
2335614,2335614,1719594.54,0,0,1719594.54,0.0,201704,202512
2610614,2610614,3567225.46,0,0,3567225.46,0.0,202312,202509
2480722,2480722,332175.44,0,0,332175.44,0.0,202005,202103
2508582,2508582,35880.0,0,0,35880.0,0.0,202212,202212
2651835,2651835,0.0,3000,3000,0.0,0.0,,
2547741,2547741,41820.0,0,100000,41820.0,0.0,202207,202311
2329375,2329375,15000.0,0,0,15000.0,0.0,201711,201711
2167952,2167952,114835.25,0,0,114686.49,0.0,201307,201705
2058332,2058332,278908.18,0,0,278908.18,0.0,200901,200912
