investment_code,CODIGO_UNICO,NUM_ANIO,MTO_DEVEN,MTO_PIM,MTO_PIA,MTO_CERT,MTO_COMPROM,SEC_EJEC,DES_UEP,COD_FUENTE_FINANC,DES_FUENTE_FINANC
2660498,2660498,2024,45430.43,122292,0,122291.31,122291.31,301788,MUNICIPALIDAD DISTRITAL DE CAIRANI,00,RECURSOS ORDINARIOS
2660498,2660498,2025,345872.87,345873,0,345872.87,345872.87,301788,MUNICIPALIDAD DISTRITAL DE CAIRANI,00,RECURSOS ORDINARIOS
2660498,2660498,2025,39300.0,39300,0,39300.0,39300.0,301788,MUNICIPALIDAD DISTRITAL DE CAIRANI,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2598508,2598508,2023,31200.0,39000,0,39000.0,31200.0,300818,MUNICIPALIDAD DISTRITAL DE ANCHONGA,07,FONDO DE COMPENSACION MUNICIPAL
2598508,2598508,2024,0.0,0,1761661,0.0,0.0,155,MINISTERIO DE AGRICULTURA-ADMINISTRACION CENTRAL,00,RECURSOS ORDINARIOS
2598508,2598508,2024,1202945.66,1761661,0,1761660.34,1726427.34,300818,MUNICIPALIDAD DISTRITAL DE ANCHONGA,00,RECURSOS ORDINARIOS
2598508,2598508,2024,7800.0,7800,0,7800.0,7800.0,300818,MUNICIPALIDAD DISTRITAL DE ANCHONGA,07,FONDO DE COMPENSACION MUNICIPAL
2598508,2598508,2025,4715834.21,4761921,4238439,4716822.42,4716822.42,300818,MUNICIPALIDAD DISTRITAL DE ANCHONGA,00,RECURSOS ORDINARIOS
2194661,2194661,2015,101710.04,101711,0,101710.04,101710.04,301422,MUNICIPALIDAD PROVINCIAL DE MAYNAS - IQUITOS,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2194661,2194661,2016,9893.5,19787,0,19787.0,9893.5,301422,MUNICIPALIDAD PROVINCIAL DE MAYNAS - IQUITOS,00,RECURSOS ORDINARIOS
2194661,2194661,2016,79148.0,79148,0,79148.0,79148.0,301422,MUNICIPALIDAD PROVINCIAL DE MAYNAS - IQUITOS,08,IMPUESTOS MUNICIPALES
2194661,2194661,2017,9893.5,9894,0,9893.5,9893.5,301422,MUNICIPALIDAD PROVINCIAL DE MAYNAS - IQUITOS,00,RECURSOS ORDINARIOS
2194661,2194661,2017,0.0,3479,100000,0.0,0.0,301422,MUNICIPALIDAD PROVINCIAL DE MAYNAS - IQUITOS,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2194661,2194661,2021,7630042.91,8707469,0,8707468.2,8707468.2,861,REGION LORETO-SEDE CENTRAL,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2194661,2194661,2022,3479173.9,3528778,0,3528777.32,3479173.9,861,REGION LORETO-SEDE CENTRAL,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2194661,2194661,2023,49602.4,49603,27688,49602.4,49602.4,861,REGION LORETO-SEDE CENTRAL,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2194661,2194661,2024,0.0,0,150000,0.0,0.0,861,REGION LORETO-SEDE CENTRAL,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2499210,2499210,2020,125077.9,550628,0,550628.0,189442.9,300351,MUNICIPALIDAD DISTRITAL DE SANTA RITA DE SIGUAS,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2499210,2499210,2021,574491.52,588860,0,583221.11,583221.11,300351,MUNICIPALIDAD DISTRITAL DE SANTA RITA DE SIGUAS,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2499210,2499210,2022,3155.0,8155,0,8155.0,8155.0,300351,MUNICIPALIDAD DISTRITAL DE SANTA RITA DE SIGUAS,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2152952,2152952,2013,246853.91,254156,0,254155.31,246853.91,301826,MUNICIPALIDAD PROVINCIAL DE PADRE ABAD - AGUAITIA,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2152952,2152952,2014,6720.0,6720,0,6720.0,6720.0,301826,MUNICIPALIDAD PROVINCIAL DE PADRE ABAD - AGUAITIA,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2088996,2088996,2009,10500.0,10500,0,0.0,10500.0,726,REGION ANCASH SEDE CENTRAL,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2088996,2088996,2009,289174.3,289175,0,0.0,289174.3,1102,REGION ANCASH-SUBREGION PACIFICO,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2687722,2687722,2025,170476.13,172518,0,172516.08,170476.13,301368,MUNICIPALIDAD DISTRITAL DE SANTIAGO DE TUNA,00,RECURSOS ORDINARIOS
2199701,2199701,2014,67540.8,67541,0,67540.8,67540.8,301733,MUNICIPALIDAD DISTRITAL DE TABALOSOS,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2352536,2352536,2018,0.0,18850,0,18850.0,18850.0,301238,MUNICIPALIDAD PROVINCIAL DE LAMBAYEQUE,07,FONDO DE COMPENSACION MUNICIPAL
2352536,2352536,2019,18850.0,393945,0,393944.15,18850.0,301238,MUNICIPALIDAD PROVINCIAL DE LAMBAYEQUE,07,FONDO DE COMPENSACION MUNICIPAL
2352536,2352536,2020,339004.74,375095,0,375095.0,339005.0,301238,MUNICIPALIDAD PROVINCIAL DE LAMBAYEQUE,07,FONDO DE COMPENSACION MUNICIPAL
2352536,2352536,2021,4221.69,4223,0,4221.69,4221.69,301238,MUNICIPALIDAD PROVINCIAL DE LAMBAYEQUE,07,FONDO DE COMPENSACION MUNICIPAL
2705952,2705952,2025,0.0,10144,0,10144.0,0.0,301175,MUNICIPALIDAD DISTRITAL DE SAN JOSE,00,RECURSOS ORDINARIOS
2705952,2705952,2025,0.0,204674,0,204674.0,0.0,301175,MUNICIPALIDAD DISTRITAL DE SAN JOSE,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2705952,2705952,2026,319058.33,410450,0,410449.52,410449.52,301175,MUNICIPALIDAD DISTRITAL DE SAN JOSE,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2129102,2129102,2011,117089.94,118095,0,0.0,117089.94,301254,MUNICIPALIDAD DISTRITAL DE BREÑA,00,RECURSOS ORDINARIOS
2530397,2530397,2022,69000.01,118638,0,118637.2,69000.01,726,REGION ANCASH SEDE CENTRAL,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2530397,2530397,2023,67335.4,114734,0,67335.4,67335.4,726,REGION ANCASH SEDE CENTRAL,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2530397,2530397,2024,8500.0,82400,1181990,8500.0,8500.0,726,REGION ANCASH SEDE CENTRAL,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2530397,2530397,2025,0.0,0,1000,0.0,0.0,726,REGION ANCASH SEDE CENTRAL,15,FONDO DE COMPENSACION REGIONAL - FONCOR
2530397,2530397,2026,0.0,46400,1000000,0.0,0.0,726,REGION ANCASH SEDE CENTRAL,15,FONDO DE COMPENSACION REGIONAL - FONCOR
2380177,2380177,2017,69722.63,85042,0,69722.63,69722.63,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
