investment_code,CODIGO_UNICO,NUM_ANIO,MTO_DEVEN,MTO_PIM,MTO_PIA,MTO_CERT,MTO_COMPROM,SEC_EJEC,DES_UEP
2660498,2660498,2024,45430.43,122292,0,122291.31,122291.31,301788,MUNICIPALIDAD DISTRITAL DE CAIRANI
2660498,2660498,2025,385172.87,385173,0,385172.87,385172.87,301788,MUNICIPALIDAD DISTRITAL DE CAIRANI
2598508,2598508,2023,31200.0,39000,0,39000.0,31200.0,300818,MUNICIPALIDAD DISTRITAL DE ANCHONGA
2598508,2598508,2024,0.0,0,1761661,0.0,0.0,155,MINISTERIO DE AGRICULTURA-ADMINISTRACION CENTRAL
2598508,2598508,2024,1210745.66,1769461,0,1769460.34,1734227.34,300818,MUNICIPALIDAD DISTRITAL DE ANCHONGA
2598508,2598508,2025,4715834.21,4761921,4238439,4716822.42,4716822.42,300818,MUNICIPALIDAD DISTRITAL DE ANCHONGA
2194661,2194661,2015,101710.04,101711,0,101710.04,101710.04,301422,MUNICIPALIDAD PROVINCIAL DE MAYNAS - IQUITOS
2194661,2194661,2016,89041.5,98935,0,98935.0,89041.5,301422,MUNICIPALIDAD PROVINCIAL DE MAYNAS - IQUITOS
2194661,2194661,2017,9893.5,13373,100000,9893.5,9893.5,301422,MUNICIPALIDAD PROVINCIAL DE MAYNAS - IQUITOS
2194661,2194661,2021,7630042.91,8707469,0,8707468.2,8707468.2,861,REGION LORETO-SEDE CENTRAL
2194661,2194661,2022,3479173.9,3528778,0,3528777.32,3479173.9,861,REGION LORETO-SEDE CENTRAL
2194661,2194661,2023,49602.4,49603,27688,49602.4,49602.4,861,REGION LORETO-SEDE CENTRAL
2194661,2194661,2024,0.0,0,150000,0.0,0.0,861,REGION LORETO-SEDE CENTRAL
2499210,2499210,2020,125077.9,550628,0,550628.0,189442.9,300351,MUNICIPALIDAD DISTRITAL DE SANTA RITA DE SIGUAS
2499210,2499210,2021,574491.52,588860,0,583221.11,583221.11,300351,MUNICIPALIDAD DISTRITAL DE SANTA RITA DE SIGUAS
2499210,2499210,2022,3155.0,8155,0,8155.0,8155.0,300351,MUNICIPALIDAD DISTRITAL DE SANTA RITA DE SIGUAS
2152952,2152952,2013,246853.91,254156,0,254155.31,246853.91,301826,MUNICIPALIDAD PROVINCIAL DE PADRE ABAD - AGUAITIA
2152952,2152952,2014,6720.0,6720,0,6720.0,6720.0,301826,MUNICIPALIDAD PROVINCIAL DE PADRE ABAD - AGUAITIA
2088996,2088996,2009,10500.0,10500,0,0.0,10500.0,726,REGION ANCASH SEDE CENTRAL
2088996,2088996,2009,289174.3,289175,0,0.0,289174.3,1102,REGION ANCASH-SUBREGION PACIFICO
2687722,2687722,2025,170476.13,172518,0,172516.08,170476.13,301368,MUNICIPALIDAD DISTRITAL DE SANTIAGO DE TUNA
2199701,2199701,2014,67540.8,67541,0,67540.8,67540.8,301733,MUNICIPALIDAD DISTRITAL DE TABALOSOS
2352536,2352536,2018,0.0,18850,0,18850.0,18850.0,301238,MUNICIPALIDAD PROVINCIAL DE LAMBAYEQUE
2352536,2352536,2019,18850.0,393945,0,393944.15,18850.0,301238,MUNICIPALIDAD PROVINCIAL DE LAMBAYEQUE
2352536,2352536,2020,339004.74,375095,0,375095.0,339005.0,301238,MUNICIPALIDAD PROVINCIAL DE LAMBAYEQUE
2352536,2352536,2021,4221.69,4223,0,4221.69,4221.69,301238,MUNICIPALIDAD PROVINCIAL DE LAMBAYEQUE
2705952,2705952,2025,0.0,214818,0,214818.0,0.0,301175,MUNICIPALIDAD DISTRITAL DE SAN JOSE
2705952,2705952,2026,319058.33,410450,0,410449.52,410449.52,301175,MUNICIPALIDAD DISTRITAL DE SAN JOSE
2129102,2129102,2011,117089.94,118095,0,0.0,117089.94,301254,MUNICIPALIDAD DISTRITAL DE BREÑA
2530397,2530397,2022,69000.01,118638,0,118637.2,69000.01,726,REGION ANCASH SEDE CENTRAL
2530397,2530397,2023,67335.4,114734,0,67335.4,67335.4,726,REGION ANCASH SEDE CENTRAL
2530397,2530397,2024,8500.0,82400,1181990,8500.0,8500.0,726,REGION ANCASH SEDE CENTRAL
2530397,2530397,2025,0.0,0,1000,0.0,0.0,726,REGION ANCASH SEDE CENTRAL
2530397,2530397,2026,0.0,46400,1000000,0.0,0.0,726,REGION ANCASH SEDE CENTRAL
2380177,2380177,2017,69722.63,85042,0,69722.63,69722.63,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2018,556262.45,1021036,0,1020245.22,611884.65,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2019,973999.75,1610136,850627,1586443.33,973999.75,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2020,1384182.55,1501113,0,1406874.98,1384182.55,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2021,36157.37,36398,0,36157.37,36157.37,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2380177,2380177,2022,0.0,21890,0,21890.0,0.0,300684,MUNICIPALIDAD PROVINCIAL DEL CUZCO
2453855,2453855,2020,867945.14,2599755,0,2588387.97,2339778.31,301537,MUNICIPALIDAD DISTRITAL DE TAMBO GRANDE
2453855,2453855,2021,1406010.69,1731810,0,1520248.98,1520248.98,301537,MUNICIPALIDAD DISTRITAL DE TAMBO GRANDE
2453855,2453855,2022,149365.19,330799,0,149365.2,149365.19,301537,MUNICIPALIDAD DISTRITAL DE TAMBO GRANDE
2453855,2453855,2023,0.0,33157,33157,0.0,0.0,301537,MUNICIPALIDAD DISTRITAL DE TAMBO GRANDE
2453855,2453855,2024,0.0,0,176435,0.0,0.0,301537,MUNICIPALIDAD DISTRITAL DE TAMBO GRANDE
2478143,2478143,2021,220920.67,220922,0,220922.0,220921.1,301640,MUNICIPALIDAD PROVINCIAL EL COLLAO - ILAVE
2478143,2478143,2022,154280.94,157743,0,157742.4,157742.4,301640,MUNICIPALIDAD PROVINCIAL EL COLLAO - ILAVE
2478143,2478143,2023,0.0,0,10250,0.0,0.0,301640,MUNICIPALIDAD PROVINCIAL EL COLLAO - ILAVE
2478143,2478143,2025,0.0,4249,0,4249.0,4249.0,301640,MUNICIPALIDAD PROVINCIAL EL COLLAO - ILAVE
2575737,2575737,2023,693815.6,830150,0,716253.6,711615.6,300454,MUNICIPALIDAD PROVINCIAL DE CANGALLO
2575737,2575737,2024,195313.5,197325,0,197313.5,197313.5,300454,MUNICIPALIDAD PROVINCIAL DE CANGALLO
2089085,2089085,2009,82316.2,107963,0,0.0,82316.2,300464,MUNICIPALIDAD PROVINCIAL DE HUANTA
2089085,2089085,2010,99640.41,99642,100000,0.0,99640.41,300464,MUNICIPALIDAD PROVINCIAL DE HUANTA
2098259,2098259,2010,0.0,253585,0,0.0,0.0,301274,MUNICIPALIDAD DISTRITAL DE PUENTE PIEDRA
2098259,2098259,2011,278846.92,281757,0,0.0,278846.92,301274,MUNICIPALIDAD DISTRITAL DE PUENTE PIEDRA
2098259,2098259,2012,41006.75,41007,0,41006.75,41006.75,301274,MUNICIPALIDAD DISTRITAL DE PUENTE PIEDRA
2510026,2510026,2021,0.0,26000,0,26000.0,0.0,300150,MUNICIPALIDAD PROVINCIAL DE HUARI
2510026,2510026,2022,641029.06,644710,0,644709.06,641029.06,300150,MUNICIPALIDAD PROVINCIAL DE HUARI
2510026,2510026,2023,45894.43,45895,0,45894.43,45894.43,300150,MUNICIPALIDAD PROVINCIAL DE HUARI
2178042,2178042,2013,225740.77,229537,0,229534.77,229534.77,301281,MUNICIPALIDAD DISTRITAL DE SAN JUAN DE LURIGANCHO
2178042,2178042,2014,1600.0,3794,0,1600.0,1600.0,301281,MUNICIPALIDAD DISTRITAL DE SAN JUAN DE LURIGANCHO
2405435,2405435,2018,614503.1,616043,0,615503.1,614503.1,300716,MUNICIPALIDAD PROVINCIAL DE CANAS - YANAOCA
2405435,2405435,2019,18952.0,18953,128095,18952.0,18952.0,300716,MUNICIPALIDAD PROVINCIAL DE CANAS - YANAOCA
2114198,2114198,2010,126506.45,126507,0,0.0,126506.45,300919,MUNICIPALIDAD DISTRITAL DE JACAS GRANDE
2084942,2084942,2011,0.0,840758,779939,0.0,0.0,300150,MUNICIPALIDAD PROVINCIAL DE HUARI
2084942,2084942,2012,635752.05,840758,0,635752.05,635752.05,300150,MUNICIPALIDAD PROVINCIAL DE HUARI
2084942,2084942,2013,37271.82,205005,0,37271.82,37271.82,300150,MUNICIPALIDAD PROVINCIAL DE HUARI
2084942,2084942,2014,111607.51,111608,0,111607.51,111607.51,300150,MUNICIPALIDAD PROVINCIAL DE HUARI
2084942,2084942,2019,0.0,15000,0,15000.0,0.0,300150,MUNICIPALIDAD PROVINCIAL DE HUARI
2084942,2084942,2020,0.0,15000,0,15000.0,15000.0,300150,MUNICIPALIDAD PROVINCIAL DE HUARI
2632443,2632443,2024,15000.0,15000,0,15000.0,15000.0,301114,MUNICIPALIDAD DISTRITAL DE SANTA BARBARA DE CARHUACAYAN
2503709,2503709,2020,33900.0,33900,0,33900.0,33900.0,300965,MUNICIPALIDAD DISTRITAL DE PARCONA
2503709,2503709,2022,0.0,0,400000,0.0,0.0,300965,MUNICIPALIDAD DISTRITAL DE PARCONA
2503709,2503709,2023,0.0,0,1099235,0.0,0.0,300965,MUNICIPALIDAD DISTRITAL DE PARCONA
2503709,2503709,2024,0.0,0,1817218,0.0,0.0,300965,MUNICIPALIDAD DISTRITAL DE PARCONA
2503709,2503709,2025,0.0,0,66000,0.0,0.0,300965,MUNICIPALIDAD DISTRITAL DE PARCONA
2187659,2187659,2014,0.0,0,1845336,0.0,0.0,1253,M.E.-PROGRAMA NACIONAL DE INFRAESTRUCTURA  EDUCATIVA
2187659,2187659,2014,947017.23,1848836,0,1003957.61,1003957.61,300376,MUNICIPALIDAD DISTRITAL DE HUANUHUANU
2187659,2187659,2015,898318.77,900329,0,898318.77,898318.77,300376,MUNICIPALIDAD DISTRITAL DE HUANUHUANU
2155238,2155238,2012,641527.95,797058,0,641527.95,641527.95,301782,MUNICIPALIDAD DISTRITAL DE INCLAN
2155238,2155238,2013,40581.72,47375,0,47081.72,40581.72,301782,MUNICIPALIDAD DISTRITAL DE INCLAN
2155238,2155238,2014,424.72,425,0,424.72,424.72,301782,MUNICIPALIDAD DISTRITAL DE INCLAN
2155238,2155238,2018,6500.0,6500,0,6500.0,6500.0,301782,MUNICIPALIDAD DISTRITAL DE INCLAN
2147383,2147383,2011,5361875.14,5852496,0,0.0,5361875.14,300699,MUNICIPALIDAD PROVINCIAL DE ANTA
2147383,2147383,2012,2759697.0,2759697,0,2759697.0,2759697.0,300699,MUNICIPALIDAD PROVINCIAL DE ANTA
2393130,2393130,2017,37000.0,45845,0,37000.0,37000.0,300995,MUNICIPALIDAD PROVINCIAL DE PISCO
2393130,2393130,2018,5831565.7,14577746,0,14402761.67,7617957.0,813,REGION ICA-SEDE CENTRAL
2393130,2393130,2018,400.0,400,0,400.0,400.0,300995,MUNICIPALIDAD PROVINCIAL DE PISCO
2393130,2393130,2019,7476319.03,9319715,0,9290247.83,7476319.03,813,REGION ICA-SEDE CENTRAL
