investment_code,CODIGO_UNICO,NUM_ANIO,COD_MES,MTO_DEVEN,MTO_PIM,MTO_PIA,MTO_CERT,MTO_COMPROM,SEC_EJEC,DES_UEP
2660498,2660498,2024,10,0.0,0,0,7000.0,0.0,301788,MUNICIPALIDAD DISTRITAL DE CAIRANI
2660498,2660498,2024,11,0.0,0,0,115291.31,7000.0,301788,MUNICIPALIDAD DISTRITAL DE CAIRANI
2660498,2660498,2024,12,45430.43,0,0,0.0,115291.31,301788,MUNICIPALIDAD DISTRITAL DE CAIRANI
2660498,2660498,2024,0,0.0,122292,0,0.0,0.0,301788,MUNICIPALIDAD DISTRITAL DE CAIRANI
2660498,2660498,2025,1,0.0,0,0,39311.95,0.0,301788,MUNICIPALIDAD DISTRITAL DE CAIRANI
2660498,2660498,2025,2,0.0,0,0,0.0,39300.0,301788,MUNICIPALIDAD DISTRITAL DE CAIRANI
2660498,2660498,2025,3,215761.03,0,0,269012.0,269012.0,301788,MUNICIPALIDAD DISTRITAL DE CAIRANI
2660498,2660498,2025,4,140088.99,0,0,76860.87,76860.87,301788,MUNICIPALIDAD DISTRITAL DE CAIRANI
2660498,2660498,2025,6,29322.85,0,0,0.0,0.0,301788,MUNICIPALIDAD DISTRITAL DE CAIRANI
2660498,2660498,2025,0,0.0,385173,0,0.0,0.0,301788,MUNICIPALIDAD DISTRITAL DE CAIRANI
2598508,2598508,2023,7,0.0,0,0,39000.0,39000.0,300818,MUNICIPALIDAD DISTRITAL DE ANCHONGA
2598508,2598508,2023,12,31200.0,0,0,0.0,-7800.0,300818,MUNICIPALIDAD DISTRITAL DE ANCHONGA
2598508,2598508,2023,0,0.0,39000,0,0.0,0.0,300818,MUNICIPALIDAD DISTRITAL DE ANCHONGA
2598508,2598508,2024,4,7800.0,0,0,7800.0,7800.0,300818,MUNICIPALIDAD DISTRITAL DE ANCHONGA
2598508,2598508,2024,10,0.0,0,0,1726427.34,0.0,300818,MUNICIPALIDAD DISTRITAL DE ANCHONGA
2598508,2598508,2024,11,0.0,0,0,35233.0,1655961.34,300818,MUNICIPALIDAD DISTRITAL DE ANCHONGA
2598508,2598508,2024,12,1202945.66,0,0,0.0,70466.0,300818,MUNICIPALIDAD DISTRITAL DE ANCHONGA
2598508,2598508,2024,0,0.0,0,1761661,0.0,0.0,155,MINISTERIO DE AGRICULTURA-ADMINISTRACION CENTRAL
2598508,2598508,2024,0,0.0,1769461,0,0.0,0.0,300818,MUNICIPALIDAD DISTRITAL DE ANCHONGA
2598508,2598508,2025,3,0.0,0,0,4691455.0,4691455.0,300818,MUNICIPALIDAD DISTRITAL DE ANCHONGA
2598508,2598508,2025,4,604869.42,0,0,0.0,1773097.51,300818,MUNICIPALIDAD DISTRITAL DE ANCHONGA
2598508,2598508,2025,6,856680.11,0,0,25367.42,25367.42,300818,MUNICIPALIDAD DISTRITAL DE ANCHONGA
2598508,2598508,2025,7,447255.76,0,0,0.0,81424.67,300818,MUNICIPALIDAD DISTRITAL DE ANCHONGA
2598508,2598508,2025,9,1027350.85,0,0,0.0,1027350.85,300818,MUNICIPALIDAD DISTRITAL DE ANCHONGA
2598508,2598508,2025,10,825864.54,0,0,0.0,825864.54,300818,MUNICIPALIDAD DISTRITAL DE ANCHONGA
2598508,2598508,2025,11,877525.8,0,0,0.0,949080.82,300818,MUNICIPALIDAD DISTRITAL DE ANCHONGA
2598508,2598508,2025,12,76287.73,0,0,0.0,4732.71,300818,MUNICIPALIDAD DISTRITAL DE ANCHONGA
2598508,2598508,2025,0,0.0,4761921,4238439,0.0,0.0,300818,MUNICIPALIDAD DISTRITAL DE ANCHONGA
2194661,2194661,2015,2,61026.02,0,0,101710.04,61026.02,301422,MUNICIPALIDAD PROVINCIAL DE MAYNAS - IQUITOS
2194661,2194661,2015,5,40684.02,0,0,40684.02,40684.02,301422,MUNICIPALIDAD PROVINCIAL DE MAYNAS - IQUITOS
2194661,2194661,2015,0,0.0,101711,0,0.0,0.0,301422,MUNICIPALIDAD PROVINCIAL DE MAYNAS - IQUITOS
2194661,2194661,2016,2,0.0,0,0,98935.0,0.0,301422,MUNICIPALIDAD PROVINCIAL DE MAYNAS - IQUITOS
2194661,2194661,2016,4,29680.5,0,0,0.0,29680.5,301422,MUNICIPALIDAD PROVINCIAL DE MAYNAS - IQUITOS
2194661,2194661,2016,8,49467.5,0,0,0.0,49467.5,301422,MUNICIPALIDAD PROVINCIAL DE MAYNAS - IQUITOS
2194661,2194661,2016,10,0.0,0,0,19787.0,0.0,301422,MUNICIPALIDAD PROVINCIAL DE MAYNAS - IQUITOS
