investment_code,CODIGO_UNICO,DES_UNIDAD_UEI,COSTO_ACTUALIZADO,MTO_VIABLE,NOMBRE_INVERSION,FECHA_ULT_ACT_F12B,FEC_VIABLE,FEC_REG_ET,FEC_APROB_ET,FEC_SEC_C,TIPO_FORMATO,MTO_ULT_ET,MTO_ET_SNIP,MTO_PMI_1,MTO_PMI_2,MTO_PMI_3,MTO_LAUDO,MTO_CartFza,NOMBRE_OPMI,ESTADO,RUTA_FOTO,RUTA_FOTO_2,PER_FOTO,PER_FOTO_2,ULT_ESTADO_SITUACIONAL,FOTO_SITUAC,ULT_PROBLEMA,ET_REGISTRADO,CIERRE_REGISTRADO,FEC_INI_EJ,FEC_FIN_EJ,MODAL_EJEC,PORC_AVANCE_FIS,PORC_AVANCE_EJEC,FEC_DECLARA_ESTIM,SITUACION,IND_EJECFIS,PROB_ET_1,TIP_F12B,IND_PARALIZADA
2705436,2705436,UEI DE LA DIRESA AYACUCHO,2592830.0,1397894.0,"ADQUISICION DE EQUIPO DE CIRUGIA LAPAROSCOPICA, ANALIZADOR BIOQUIMICO, ANALIZADOR HEMATOLOGICO Y ELECTROCARDIOGRAFO (TELEMEDICINA); ADEMÁS DE OTROS ACTIVOS EN EL(LA) HOSPITAL  JESUS NAZARENO  DISTRITO DE JESUS NAZARENO, PROVINCIA HUAMANGA, DEPARTAMENTO AYACUCHO",2026-02-20 05:00:00,2025-10-02 16:21:46,,2026-02-02 05:00:00,2026-02-02 05:00:00,IOARR,2592830.0,0.0,0.0,0.0,0.0,0.0,0.0,OPMI DEL GOBIERNO REGIONAL AYACUCHO,ACTIVO,No se encontraron fotos.,No se encontraron fotos.,No se encontraron fotos.,No se encontraron fotos.,[20/02/2026] EN PROCESO DE ELABORACION DEL ESTUDIO DEFINITIVO APROBADO CON Resolución Directoral Regional Sectorial Nº040-2026-GRA/GG-GRDS-DRSA-DG,https://ofi5.mef.gob.pe/invierte/general/downloadArchivoPublico?idArchivo=c4108202-6ecc-4994-982e-9331e9f47544.pdf,[20/02/2026] INCREMENTO DE QUIPOS COMPLEMENTARIOS PARA GARANTIZAR LA FUNCIONALIDAD,SI,NO,02/03/2026 00:00:00,01/06/2026 00:00:00,ADMINISTRACIÓN DIRECTA,0.0,0.0,20/02/2026,APROBADO,SI,[20/02/2026] PROGRAMACION PRESUPUESTAL PARA EL AÑO FISCAL 2026,2,NO
2660498,2660498,UEI DE LA MUNICIPALIDAD DISTRITAL DE CAIRANI,440211.31,212325.82,CREACION DEL SERVICIO DE ALCANTARILLADO U OTRAS FORMAS DE DISPOSICIÓN SANITARIA DE EXCRETAS EN UNIDADES BASICAS DE SANEAMIENTO  DE CENTRO POBLADO HUAYLLANI (TURUNTURO) DISTRITO DE CAIRANI DE LA PROVINCIA DE CANDARAVE DEL DEPARTAMENTO DE TACNA,2026-01-08 05:00:00,2024-09-06 00:35:37,,2024-11-22 05:00:00,,PROYECTO DE INVERSION,440211.31,0.0,0.0,0.0,0.0,0.0,0.0,OPMI DE LA MUNICIPALIDAD DISTRITAL DE CAIRANI,ACTIVO,No se encontraron fotos.,No se encontraron fotos.,No se encontraron fotos.,No se encontraron fotos.,"[08/01/2026] SE aprobó EL EXPEDieNTE TÉCNICO y actualmente el proyecto se encuentra en ejecución.
EL PROYECTO CULMINO AL 100% FISICAMENTE SE ENCUENTRA RECEPCIONADO Y CON LIQUIDACIÓN DE OBRA POR LO QUE SOLO QUEDA LIQUIDAR FINANCIERAMENTE.",,[08/01/2026] NINGUNO,SI,NO,22/01/2025 00:00:00,21/04/2025 00:00:00,ADMINISTRACIÓN INDIRECTA - POR CONTRATA,0.0,0.0,,VIABLE,SI,[08/01/2026] LIQUIDACIÓN FINANCIERA Y CIERRE.,2,NO
2598508,2598508,UEI DE LA MUNICIPALIDAD DISTRITAL DE ANCHONGA,6039100.54,5514838.05,MEJORAMIENTO DEL SERVICIO DE PROVISIÓN DE AGUA PARA RIEGO EN EL SISTEMA DE RIEGO TECNIFICADO DE LA LOCALIDAD DE ANCHONGA DEL   DISTRITO DE ANCHONGA DE LA PROVINCIA DE ANGARAES DEL DEPARTAMENTO DE HUANCAVELICA,2025-12-22 05:00:00,2023-06-20 00:09:31,,2024-02-12 05:00:00,2024-04-22 05:00:00,PROYECTO DE INVERSION,5959686.8,0.0,0.0,0.0,0.0,0.0,0.0,OPMI DE LA MUNICIPALIDAD DISTRITAL DE ANCHONGA,ACTIVO,https://ofi5.mef.gob.pe/invierte/general/downloadArchivoPublico?idArchivo=45dd13c5-472d-465f-aa76-f33f684ef2ca.jpg,https://ofi5.mef.gob.pe/invierte/general/downloadArchivoPublico?idArchivo=124fb5c7-1ba7-4fac-ac6c-b4ceb0edab82.jpg,2025-10,2025-09,"[15/12/2025] EL PROYECTO SE ENCUENTRA EN PROCESO DE LIQUIDACION TECNICA Y FINANCIERA, PARA CUMPLIR CON EL REGISTRO DEL FORMATO 09. LO CUAL ESTA A LA PRESENTACION FINAL DE LA LIQUIDACION",,"[15/12/2025] PRESENTA AVANCE FINANCIERO Y FISICO DE LA INVERSION AL 100%, LO CUAL SE ENCUENTRA EN PROCESO DE LIQUIDACION Y ESTA PRESENTA ALGUNAS OBSERVACIONES, EN PROCESO DE SUBSANACION",SI,NO,12/11/2024 00:00:00,11/05/2025 00:00:00,ADMINISTRACIÓN INDIRECTA - POR CONTRATA,0.0,0.0,08/09/2024,VIABLE,SI,[15/12/2025] SE PROCEDERA A ACTUALIZAR LAS DIVERSAS PLATAFORMAS UNA VEZ CONCLUIDO Y APROBADO LA LIQUIDACION TECNICA Y FINANCIERA,2,NO
2194661,2194661,UEI - GERENCIA REGIONAL DE INFRAESTRUCTURA,12264393.26,4474430.0,"MEJORAMIENTO DE LA CALLE 4 DE SETIEMBRE, CALLE URARINAS, PASAJE SECOYA Y PASAJES ADYACENTES AL ÁMBITO DE SU INFLUENCIA - DISTRITO DE IQUITOS, PROVINCIA DE MAYNAS - LORETO",2025-12-17 05:00:00,2017-10-19 05:00:00,,2020-10-09 05:00:00,2022-11-17 05:00:00,PROYECTO DE INVERSION,10082912.35,0.0,0.0,0.0,0.0,0.0,0.0,OPMI DEL GOBIERNO REGIONAL LORETO,ACTIVO,https://ofi5.mef.gob.pe/invierte/general/downloadArchivoPublico?idArchivo=653b28f3-0582-40fc-96e8-d3a9294565ed.jpg,https://ofi5.mef.gob.pe/invierte/general/downloadArchivoPublico?idArchivo=7f5ba6b7-f245-4951-8278-a25f4bbb5b1e.jpg,2022-03,2022-02,"[17/12/2025] PROYECTO DE INVERSIÓN CON FECHA DE INICIO DE OBRA 01/02/2021, TIENE UN AVANCE REAL ACUMULADO DE 100% VERSUS EL CALENDARIO DE AVANCE PROGRAMADO CUMULADO DE 100%, OBRA DENTRO DE LO PROGRAMADO, REGISTRO DE ACTIVIDADES DE VALORIZACIONES DE MARZO 2022. EN PROCESO DE LIQUIDACIÓN Y CIERRE DEFINITIVO DE LA INVERSIÓN.",,[17/12/2025] n,SI,"Sí, en proceso de liquidación",01/02/2021 00:00:00,29/10/2021 00:00:00,ADMINISTRACIÓN INDIRECTA - POR CONTRATA,100.0,100.0,17/12/2023,VIABLE,NO,[17/12/2025] n,1,NO
2499210,2499210,UEI DE LA MUNICIPALIDAD DISTRITAL DE SANTA RITA DE SIGUAS,750948.22,443900.08,"CONSTRUCCION DE RESERVORIO; EN EL(LA) PLANTA DE AGUA POTABLE,  DISTRITO DE SANTA RITA DE SIGUAS, PROVINCIA AREQUIPA, DEPARTAMENTO AREQUIPA",2022-12-28 05:00:00,2020-10-12 17:07:00,,2020-11-12 05:00:00,2021-04-13 05:00:00,IOARR,550628.32,0.0,0.0,0.0,0.0,0.0,0.0,OPMI DE LA MUNICIPALIDAD DISTRITAL DE SANTA RITA DE SIGUAS,ACTIVO,No se encontraron fotos.,No se encontraron fotos.,No se encontraron fotos.,No se encontraron fotos.,[28/12/2022] PROYECTO EN LIQUIDACION,, ,SI,NO,19/11/2020 00:00:00,06/03/2021 00:00:00,ADMINISTRACIÓN DIRECTA,100.0,98.74,28/12/2022,APROBADO,SI, ,2,NO
2628986,2628986,UEI DE LA MUNICIPALIDAD DISTRITAL DE SAN PEDRO DE HUANCAYRE,403396.12,583250.23,"CREACION DE LOS SERVICIOS DE PROTECCIÓN EN LA RIBERA DE LAS QUEBRADAS VULNERABLES ANTE EL PELIGRO EN DESLIZAMIENTOS EN EL ESTADIO MUNICIPAL,   DISTRITO DE SAN PEDRO DE HUANCAYRE DE LA PROVINCIA DE HUAROCHIRI DEL DEPARTAMENTO DE LIMA",2026-02-26 05:00:00,2024-01-05 21:14:41,,2024-01-09 05:00:00,2026-02-26 05:00:00,PROYECTO DE INVERSION,403396.12,0.0,40000.0,38426.0,1976.0,0.0,0.0,OPMI DE LA MUNICIPALIDAD DISTRITAL DE SAN PEDRO DE HUANCAYRE,ACTIVO,No se encontraron fotos.,No se encontraron fotos.,No se encontraron fotos.,No se encontraron fotos.,[26/02/2026] SE REALIZA LA PROGRAMACION DE ACUERDO A la programación multianual de inversiones 2027-2029,,[26/02/2026] programación multianual de inversiones 2027-2029,SI,NO,21/12/2027 00:00:00,25/07/2036 00:00:00,"ADMINISTRACIÓN INDIRECTA - POR CONTRATA,ADMINISTRACIÓN DIRECTA",0.0,0.0,24/02/2026,VIABLE,SI,[26/02/2026] programación multianual de inversiones 2027-2029,2,NO
2500995,2500995,UF DE LA EMPRESA REGIONAL DE SERVICIO PÚBLICO DE ELECTRICIDAD DE PUNO SOCIEDAD ANÓNIMA ABIERTA - ELECTRO PUNO S.A.A.,2746309.79,2746309.79,MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS OPERATIVOS O MISIONALES INSTITUCIONALES EN LA UNIDAD ZONAL LAMPA DE ELECTRO PUNO S.A.A.   DISTRITO DE LAMPA DE LA PROVINCIA DE LAMPA DEL DEPARTAMENTO DE PUNO,2026-02-15 05:00:00,2024-04-23 00:25:34,,,,PROYECTO DE INVERSION,0.0,0.0,2689755.0,0.0,0.0,0.0,0.0,OPMI DE LA EMPRESA REGIONAL DE SERVICIO PÚBLICO DE ELECTRICIDAD DE PUNO SOCIEDAD ANÓNIMA ABIERTA - ELECTRO PUNO S.A.A.,ACTIVO,No se encontraron fotos.,No se encontraron fotos.,No se encontraron fotos.,No se encontraron fotos.,[15/02/2026] EN ELABORACION EXPEDIENTE TECNICO,,[15/02/2026] NO SE TIENE RESTRICCIONES,NO,NO,,,ADMINISTRACIÓN INDIRECTA - POR CONTRATA,0.0,0.0,,VIABLE,SI,[15/02/2026] APROBACION DE EXPEDIENTE TECNICO,2,NO
2152952,2152952,UEI MUNICIPALIDAD PROVINCIAL DE PADRE ABAD,253573.91,119038.79,"MEJORAMIENTO DEL PARQUE JUNTA VECINAL NUEVO AGUAYTIA, PROVINCIA DE PADRE ABAD - UCAYALI",2025-09-03 05:00:00,2012-03-08 05:00:00,2013-07-24 05:00:00,2013-03-11 05:00:00,2025-08-21 05:00:00,PROYECTO DE INVERSION,153694.53,254156.13,0.0,0.0,0.0,0.0,0.0,OPMI DE LA MUNICIPALIDAD PROVINCIAL DE PADRE ABAD,ACTIVO,No se encontraron fotos.,No se encontraron fotos.,No se encontraron fotos.,No se encontraron fotos.,"[03/09/2025] EL PROYECTO DE INVERSIÓN A LA FECHA SE ENCUENTRA EJECUTADA Y CULMINADA, PENDIENTE DE REALIZAR ACTUALIZACIONES AL INVIERTE POR SER UN PROYECTO SNIP Y POSTERIORMENTE REALIZAR LIQUIDACIÓN Y CIERRE DEL PROYECTO.",,[03/09/2025] NINGUNO,SI,"Sí, en proceso de liquidación",15/03/2013 00:00:00,15/07/2014 00:00:00,ADMINISTRACIÓN DIRECTA,100.0,100.0,03/09/2025,VIABLE,NO,[03/09/2025] NINGUNO,0,NO
2088996,2088996,UEI DEL GOBIERNO REGIONAL ANCASH - - SUB REGIÓN PACÍFICO,1.0,299674.0,"DESCOLMATACION DEL CAUSE Y REFORZAR LAS RIBERAS DEL RIO LACRAMARCA, SECTOR VILLA MARIA Y 27 DE OCTUBRE - DISTRITO DE CHIMBOTE - PROVINCIA SANTA - REGION ANCASH				",2021-12-28 05:00:00,2009-01-22 05:00:00,,,,PROYECTO DE INVERSION,1.0,0.0,0.0,0.0,0.0,0.0,0.0,OPMI DEL GOBIERNO REGIONAL ANCASH,ACTIVO,No se encontraron fotos.,No se encontraron fotos.,No se encontraron fotos.,No se encontraron fotos., ,, ,NO,NO,,,---,0.0,0.0,,VIABLE,NO, ,0,NO
2687722,2687722,UEI DE LA MUNICIPALIDAD DISTRITAL DE SANTIAGO DE TUNA,179516.08,641160.2,CREACION DEL SERVICIO DE PROVISIÓN DE AGUA PARA RIEGO EN EL SISTEMA DE RIEGO TECNIFICADO EN EL SECTOR PIEDRA GENTIL DEL   DISTRITO DE SANTIAGO DE TUNA DE LA PROVINCIA DE HUAROCHIRI DEL DEPARTAMENTO DE LIMA,2026-02-23 05:00:00,2025-05-09 03:41:19,,,,PROYECTO DE INVERSION,179516.08,0.0,0.0,0.0,0.0,0.0,0.0,OPMI DE LA MUNICIPALIDAD DISTRITAL DE SANTIAGO DE TUNA,ACTIVO,No se encontraron fotos.,No se encontraron fotos.,No se encontraron fotos.,No se encontraron fotos.,"[23/02/2026] EL PROYECTO culmino su ejecucion el año 2025, en el presente año se programa la liquidacion y cierre de la inversion",,[23/02/2026] no se registro problemas durante la ejecucion,NO,NO,,,ADMINISTRACIÓN DIRECTA,0.0,0.0,,VIABLE,SI,[23/02/2026] continuar con la liquidacion y cierre del proyecto,2,NO
