investment_code,COD_UNICO,DES_TIPO,COD_MES,PERIODO,MTO_ACT,FEC_PFA
2628986,2628986,ACTUALIZADO,10,2026-10,0.0,2026-02-26 15:44:51
2628986,2628986,ACTUALIZADO,4,2026-04,0.0,2026-02-26 15:44:51
2628986,2628986,ACTUALIZADO,11,2026-11,0.0,2026-02-26 15:44:51
2628986,2628986,ACTUALIZADO,1,2026-01,0.0,2026-02-26 15:44:51
2628986,2628986,ACTUALIZADO,6,2026-06,0.0,2026-02-26 15:44:51
2628986,2628986,ACTUALIZADO,7,2026-07,0.0,2026-02-26 15:44:51
2628986,2628986,ACTUALIZADO,2,2026-02,0.0,2026-02-26 15:44:51
2628986,2628986,ACTUALIZADO,5,2026-05,0.0,2026-02-26 15:44:51
2628986,2628986,ACTUALIZADO,8,2026-08,0.0,2026-02-26 15:44:51
2628986,2628986,ACTUALIZADO,9,2026-09,0.0,2026-02-26 15:44:51
2628986,2628986,ACTUALIZADO,12,2026-12,0.0,2026-02-26 15:44:51
2628986,2628986,ACTUALIZADO,3,2026-03,0.0,2026-02-26 15:44:51
2500995,2500995,ACTUALIZADO,1,2026-01,0.0,
2500995,2500995,ACTUALIZADO,2,2026-02,0.0,
2500995,2500995,ACTUALIZADO,5,2026-05,0.0,
2500995,2500995,ACTUALIZADO,8,2026-08,0.0,
2500995,2500995,ACTUALIZADO,12,2026-12,2000000.0,
2500995,2500995,ACTUALIZADO,3,2026-03,0.0,
2500995,2500995,ACTUALIZADO,7,2026-07,0.0,
2500995,2500995,ACTUALIZADO,11,2026-11,0.0,
2500995,2500995,ACTUALIZADO,4,2026-04,0.0,
2500995,2500995,ACTUALIZADO,6,2026-06,0.0,
2500995,2500995,ACTUALIZADO,9,2026-09,0.0,
2500995,2500995,ACTUALIZADO,10,2026-10,0.0,
2687722,2687722,ACTUALIZADO,4,2026-04,0.0,2026-02-23 14:47:11
2687722,2687722,ACTUALIZADO,3,2026-03,0.0,2026-02-23 14:47:11
2687722,2687722,ACTUALIZADO,5,2026-05,0.0,2026-02-23 14:47:11
2687722,2687722,ACTUALIZADO,6,2026-06,250000.0,2026-02-23 14:47:11
2687722,2687722,ACTUALIZADO,8,2026-08,0.0,2026-02-23 14:47:11
2687722,2687722,ACTUALIZADO,9,2026-09,0.0,2026-02-23 14:47:11
2687722,2687722,ACTUALIZADO,11,2026-11,0.0,2026-02-23 14:47:11
2687722,2687722,ACTUALIZADO,7,2026-07,220684.07,2026-02-23 14:47:11
2687722,2687722,ACTUALIZADO,10,2026-10,0.0,2026-02-23 14:47:11
2687722,2687722,ACTUALIZADO,1,2026-01,0.0,2026-02-23 14:47:11
2687722,2687722,ACTUALIZADO,2,2026-02,0.0,2026-02-23 14:47:11
2687722,2687722,ACTUALIZADO,12,2026-12,0.0,2026-02-23 14:47:11
2705952,2705952,ACTUALIZADO,9,2026-09,0.0,2026-01-19 22:28:25
2705952,2705952,ACTUALIZADO,10,2026-10,0.0,2026-01-19 22:28:25
2705952,2705952,ACTUALIZADO,1,2026-01,0.0,2026-01-19 22:28:25
2705952,2705952,ACTUALIZADO,3,2026-03,205000.0,2026-01-19 22:28:25
2705952,2705952,ACTUALIZADO,8,2026-08,0.0,2026-01-19 22:28:25
2705952,2705952,ACTUALIZADO,6,2026-06,0.0,2026-01-19 22:28:25
2705952,2705952,ACTUALIZADO,2,2026-02,0.0,2026-01-19 22:28:25
