investment_code,COD_UNICO,NUM_ANIO,MTO_PROG
2194661,2194661,2027,904929.01
2628986,2628986,2027,40000.0
2628986,2628986,2028,38426.12
2628986,2628986,2029,1976.0
2628986,2628986,2030,46142.0
2628986,2628986,2031,46142.0
2628986,2628986,2032,46142.0
2628986,2628986,2033,46142.0
2628986,2628986,2034,46142.0
2628986,2628986,2035,46142.0
2628986,2628986,2036,46142.0
2530397,2530397,2027,3563154.44
2503709,2503709,2029,2279235.49
2656746,2656746,2027,556029.0
2452682,2452682,2027,1282800.06
2452682,2452682,2028,12500000.0
2309952,2309952,2027,458815.66
2131115,2131115,2027,817294.84
2320661,2320661,2028,1000000.0
2320661,2320661,2029,1760918.93
2541814,2541814,2027,256204.56
2423388,2423388,2027,10000.0
2423388,2423388,2028,10000.0
2423388,2423388,2029,22104.24
2692290,2692290,2027,450000.0
2692290,2692290,2028,450000.0
2692290,2692290,2029,450000.0
2692290,2692290,2030,450000.0
2692290,2692290,2031,450000.0
2692290,2692290,2032,19278525.27
2666634,2666634,2027,100000.0
2666634,2666634,2028,100000.0
2666634,2666634,2029,3000000.0
2666634,2666634,2030,1775878.51
2651835,2651835,2027,300000.0
2651835,2651835,2028,387747.25
2547741,2547741,2027,3000000.0
2547741,2547741,2028,1000000.0
2547741,2547741,2029,1000000.0
2547741,2547741,2030,1000000.0
2547741,2547741,2031,200000.0
2547741,2547741,2032,200000.0
2547741,2547741,2033,200000.0
2547741,2547741,2034,100000.0
2547741,2547741,2035,334515.95
2689534,2689534,2027,5000.0
2537519,2537519,2027,36104.98
2463306,2463306,2027,5262012.08
2131121,2131121,2027,700318.97
2131121,2131121,2028,1229771.91
2131121,2131121,2029,529452.93
2534303,2534303,2027,4077.95
2513814,2513814,2027,800000.0
2513814,2513814,2028,1000000.0
2513814,2513814,2029,1254512.0
2513814,2513814,2030,2500000.0
2513814,2513814,2031,3129690.06
2713712,2713712,2027,350000.0
2713712,2713712,2028,385526.25
2502134,2502134,2027,1468012.0
2502134,2502134,2028,1875000.0
2502134,2502134,2029,2406140.08
2716925,2716925,2027,50000.0
2716925,2716925,2028,100000.0
2716925,2716925,2029,94088.38
2569808,2569808,2027,48187.68
2569808,2569808,2028,10000.0
2569808,2569808,2031,278771.87
2569808,2569808,2032,709507.36
2614924,2614924,2027,914050.2
2476686,2476686,2027,108736.2
2250100,2250100,2027,270906.79
2250100,2250100,2028,82507.0
2709847,2709847,2027,285280.78
2689758,2689758,2027,1.0
2689758,2689758,2028,1.0
2689758,2689758,2029,1.0
2689758,2689758,2030,1.0
2689758,2689758,2031,1.0
2689758,2689758,2032,1.0
2689758,2689758,2033,1.0
2689758,2689758,2034,1.0
2689758,2689758,2035,1.0
2689758,2689758,2036,1.0
2689758,2689758,2037,3533307.87
2494818,2494818,2027,20000.0
2494818,2494818,2030,3200000.0
2494818,2494818,2031,4555267.94
2606568,2606568,2027,805008.0
2606568,2606568,2028,1500000.0
2017492,2017492,2027,7477889.35
2017492,2017492,2028,48515.32
2368594,2368594,2027,1500000.0
2368594,2368594,2028,3000000.0
2368594,2368594,2029,7975440.23
2620991,2620991,2027,77274.57
2715358,2715358,2027,5000.0
2715358,2715358,2028,5000.0
2715358,2715358,2029,5000.0
2715358,2715358,2030,128135.69
2680389,2680389,2027,726880.62
2658639,2658639,2027,35000.0
2658639,2658639,2028,15000.0
2658639,2658639,2029,15000.0
2658639,2658639,2030,10000.0
2658639,2658639,2031,15000.0
2658639,2658639,2032,12000.0
2658639,2658639,2033,15000.0
2658639,2658639,2034,20000.0
2658639,2658639,2035,15000.0
2658639,2658639,2036,20000.0
2658639,2658639,2037,856900.0
2658639,2658639,2038,980654.0
2658639,2658639,2039,974013.17
2500094,2500094,2027,88084480.24
2500094,2500094,2028,248531155.99
2623126,2623126,2027,7000000.0
2623126,2623126,2028,5221320.48
2703163,2703163,2027,100000.0
2703163,2703163,2028,100000.0
2703163,2703163,2029,100000.0
2703163,2703163,2030,100000.0
2703163,2703163,2031,100000.0
2703163,2703163,2032,223143.85
2630438,2630438,2027,50000.0
2709836,2709836,2027,15000.0
2709836,2709836,2028,59250.0
2709836,2709836,2029,59250.0
2709836,2709836,2030,6866500.0
2709836,2709836,2031,7439970.12
2574298,2574298,2027,13010755.24
2574298,2574298,2028,32860563.6
2652079,2652079,2029,39339247.0
2652079,2652079,2030,286855879.08
2485439,2485439,2028,300000.0
2485439,2485439,2029,8033032.15
2701145,2701145,2027,11199.0
2665682,2665682,2027,50000.0
2665682,2665682,2028,50000.0
2665682,2665682,2029,100000.0
2665682,2665682,2030,100000.0
2665682,2665682,2031,250000.0
2665682,2665682,2032,4000000.0
2665682,2665682,2033,5256068.25
2112606,2112606,2027,578229.57
2639915,2639915,2028,1549164.61
2600438,2600438,2028,31288.0
2600438,2600438,2029,293831.07
2500085,2500085,2027,4000000.0
2500085,2500085,2028,1129784.77
2257728,2257728,2027,40275.0
2257728,2257728,2028,4475.15
2618266,2618266,2027,50000.0
2618266,2618266,2028,100000.0
2618266,2618266,2029,88000.0
2304530,2304530,2027,1240717.89
2304530,2304530,2028,19358672.31
2304530,2304530,2029,12484478.91
2304530,2304530,2030,12484478.91
2304530,2304530,2031,9363359.18
2304530,2304530,2032,7460687.62
2467050,2467050,2027,10000.0
2467050,2467050,2028,1740102.41
2623733,2623733,2027,1000000.0
2619096,2619096,2029,100000.0
2619096,2619096,2030,100000.0
2619096,2619096,2031,100000.0
2619096,2619096,2032,100000.0
2619096,2619096,2033,100000.0
2619096,2619096,2034,100000.0
2619096,2619096,2035,100000.0
2619096,2619096,2036,100000.0
2619096,2619096,2037,12436373.75
2325712,2325712,2027,1000000.0
2325712,2325712,2028,1000000.0
2325712,2325712,2029,1000000.0
2325712,2325712,2030,1000000.0
2325712,2325712,2031,1000000.0
2325712,2325712,2032,1000000.0
2325712,2325712,2033,1000000.0
2325712,2325712,2034,1000000.0
2325712,2325712,2035,1000000.0
2325712,2325712,2036,1000000.0
2325712,2325712,2037,21670831.93
2526974,2526974,2027,50000.0
